Craft,Item,Slot,Material 1,Material 2,Level,Stats
Tinker,Crude Malachite Buckle,Belts,Cut Flecked Malachite Gem,Metal,1,+2 Chemical Debuff Resists
Tinker,Rough Turquoise Buckle,Belts,Cut Shiny Turquoise Gem,Metal,10,"+1 Physical Dmg Resists
+2 Physical Debuff Resists"
Tinker,Malachite Buckle,Belts,Cut Sparkling Malachite Gem,Metal,20,+6 Chemical Debuff Resists
Tinker,Topaz Buckle,Belts,Cut Sparkling Topaz Gem,Metal,20,"+3 Haste
+3 Ember Debuff Resists"
Tinker,Fair Turquoise Buckle,Belts,Cut Brilliant Turquoise Gem,Metal,30,"+3 Physical Dmg Resists
+4 Physical Debuff Resists"
Tinker,Fair Casserite Buckle,Belts,Cut Brilliant Casserite Gem,Metal,30,"+4 Ember Dmg Resists
+3 Ember Debuff Resists"
Tinker,Crude Copper Sight Pin,Ranged Weapons,Newhaven Copper,Glue,1,+5 Hit
Tinker,Rough Tin Sight Pin,Ranged Weapons,Flatlands Tin,Glue,10,+6 Penetration
Tinker,Zink Sight Pin,Ranged Weapons,Highlands Zink,Glue,20,"+4 Hit\n
+3 Penetration"
Tinker,Copper Sight Pin,Ranged Weapons,Highlands Copper,Glue,20,+7 Hit
Tinker,Fair Gold Sight Pin,Ranged Weapons,Outlands Gold,Glue,30,+5 DamagePercent
Tinker,Fair Tin Sight Pin,Ranged Weapons,Outlands Tin,Glue,30,+10 Penetration
Weaponsmith,Crude Lean Grip Wrap,1H Weapons,Coarse Lean Leather,Glue,1,+5 Penetration
Weaponsmith,Rough Light Grip Wrap,1H Weapons,Rough Light Leather,Glue,10,+4 Flanking
Weaponsmith,Lean Grip Wrap,1H Weapons,Fair Lean Leather,Glue,20,+7 Hit
Weaponsmith,Dense Grip Wrap,1H Weapons,Fair Dense Leather,Glue,20,+7 Penetration
Weaponsmith,Fair Light Grip Wrap,1H Weapons,Fine Light Leather,Glue,30,+8 Flanking
Weaponsmith,Fair Robust Grip Wrap,1H Weapons,Fine Robust Leather,Glue,30,"+5 Hit
+5 Penetration"
Weaponsmith,Crude Lean Grips,Gloves,Coarse Lean Leather,Glue,1,+1 Hit
Weaponsmith,Rough Light Grips,Gloves,Rough Light Leather,Glue,10,"+2 Hit
+1 1H Weapon Damage
+1 Ranged Damage"
Weaponsmith,Lean Grips,Gloves,Fair Lean Leather,Glue,20,"+1 Penetration
+3 Hit"
Weaponsmith,Dense Grips,Gloves,Fair Dense Leather,Glue,20,"+3 1H Weapon Damage
+3 2H Weapon Damage"
Weaponsmith,Fair Light Grips,Gloves,Fine Light Leather,Glue,30,"+4 Hit
+3 1H Weapon Damage
+3 Ranged Damage"
Weaponsmith,Fair Robust Grips,Gloves,Fine Robust Leather,Glue,30,+8 Healing
Woodworker,Crude Pine Counterweight,2H Weapons,Timberland Pine Wood,Leather or Cloth,1,+1 Dice Mod
Woodworker,Rough Cedar Counterweight,2H Weapons,Praire Cedar Wood,Leather or Cloth,10,+3 Flanking
Woodworker,Pine Counterweight,2H Weapons,Highlands Maple Wood,Leather or Cloth,20,+3 Dice Mod
Woodworker,Maple Counterweight,2H Weapons,Highlands Pine Wood,Leather or Cloth,20,+8 Hit
Woodworker,Fair Cedar Counterweight,2H Weapons,Outlands Cedar Wood,Leather or Cloth,30,+8 Flanking
Woodworker,Fair Teak Counterweight,2H Weapons,Outlands Teak Wood,Leather or Cloth,30,+5 DamagePercent
